,State,City,Station,displayname,nolookupname,latlong,point,latitude,longitude,latlongnolookup
0,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","Secretariat, Amaravati, Andhra Pradesh","Amaravati, Andhra Pradesh, India","Secretariat Complex, Amaravati Capital City, Thullur, Guntur, Andhra Pradesh, India","(16.5134691, 80.517227, 0.0)",16.5134691,80.517227,
1,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","Anand Kala Kshetram, Rajamahendravaram, Andhra Pradesh","Rajamahendravaram, Andhra Pradesh, India",,"(17.0050454, 81.7804732, 0.0)",17.0050454,81.7804732,"Rajamahendravaram, Lalachervu, Rajahmundry (Urban), Andhra Pradesh, 533100, India"
2,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","Tirumala, Tirupati, Andhra Pradesh","Tirupati, Andhra Pradesh, India","Tirumala, Tirupati (Urban), Chittoor, Andhra Pradesh, 517504, India","(13.6795235, 79.3497522, 0.0)",13.6795235,79.3497522,
3,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB","PWD Grounds, Vijayawada, Andhra Pradesh","Vijayawada, Andhra Pradesh, India",,"(16.5087586, 80.6185102, 0.0)",16.5087586,80.6185102,"Vijayawada, Vijayawada (Urban), Andhra Pradesh, 520001, India"
4,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","GVM Corporation, Visakhapatnam, Andhra Pradesh","Visakhapatnam, Andhra Pradesh, India",,"(17.7231276, 83.3012842, 0.0)",17.7231276,83.3012842,"Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India"
5,Assam,Guwahati,"Railway Colony, Guwahati - APCB","Railway Colony, Guwahati, Assam","Guwahati, Assam, India","Railway Colony, Guwahati, Kamrup Metropolitan, Assam, 781015, India","(26.1808827, 91.7824864, 0.0)",26.1808827,91.7824864,
6,Bihar,Gaya,"Collectorate, Gaya - BSPCB","Collectorate, Gaya, Bihar","Gaya, Bihar, India","Gaya, Gaya Town C.D.Block, Gaya, Bihar, 823001, India","(24.7964355, 85.0079563, 0.0)",24.7964355,85.0079563,
7,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","SFTI Kusdihra, Gaya, Bihar","Gaya, Bihar, India",,"(24.7964355, 85.0079563, 0.0)",24.7964355,85.0079563,"Gaya, Gaya Town C.D.Block, Gaya, Bihar, 823001, India"
8,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","Industrial Area, Hajipur, Bihar","Hajipur, Bihar, India","Hajipur, Vaishali, Bihar, 844101, India","(25.6905568, 85.2090094, 0.0)",25.6905568,85.2090094,
9,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","Buddha Colony, Muzaffarpur, Bihar","Muzaffarpur, Bihar, India",,"(26.1486581, 85.34001282479626, 0.0)",26.1486581,85.34001282,"Muzaffarpur, Bihar, India"
10,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","Muzaffarpur Collectorate, Muzaffarpur, Bihar","Muzaffarpur, Bihar, India","Muzaffarpur, Musahri, Muzaffarpur, Bihar, 842001, India","(26.1182898, 85.3857888, 0.0)",26.1182898,85.3857888,
